experiment_id,branch,code_ref,original_path,suffix,episode_split,note,runtime_line,success_by_snapshot_pct,success_by_snapshot_n,success_by_snapshot_count,spl_by_snapshot_pct,spl_by_snapshot_n,success_by_distance_pct,success_by_distance_n,success_by_distance_count,spl_by_distance_pct,spl_by_distance_n,task_success_json,task_spl_json
baseline_ceping_split1,baseline/fix-tsdf05cm,8d4a4c9,/mnt/data/SCOPE/results/baseline_ceping,0.0_1.0_1,1,旧 5cm baseline pilot；非当前正式公平对照,15:39:34 - All scenes finish,20.5,278,57,17.13,278,40.65,278,113,29.11,278,"{""image"": {""pct"": 37.5, ""n"": 88, ""success_or_positive"": 33}, ""object"": {""pct"": 47.47, ""n"": 99, ""success_or_positive"": 47}, ""description"": {""pct"": 36.26, ""n"": 91, ""success_or_positive"": 33}}","{""image"": {""pct"": 31.57, ""n"": 88, ""success_or_positive"": 30}, ""object"": {""pct"": 27.14, ""n"": 99, ""success_or_positive"": 25}, ""description"": {""pct"": 28.89, ""n"": 91, ""success_or_positive"": 27}}"
baseline_metric_control_splits1_3,baseline/fix-tsdf05cm,8d4a4c9,/mnt/data/SCOPE/results/baseline_of_metric-frontier-readable-bev,0.0_1.0_1,1,当前 readable-BEV 的 5cm 非 BEV 正式对照，split 1/2/3,14:02:41 - All scenes finish,20.5,278,57,16.29,278,44.24,278,123,31.66,278,"{""image"": {""pct"": 37.5, ""n"": 88, ""success_or_positive"": 33}, ""object"": {""pct"": 54.55, ""n"": 99, ""success_or_positive"": 54}, ""description"": {""pct"": 39.56, ""n"": 91, ""success_or_positive"": 36}}","{""image"": {""pct"": 29.9, ""n"": 88, ""success_or_positive"": 29}, ""object"": {""pct"": 35.5, ""n"": 99, ""success_or_positive"": 32}, ""description"": {""pct"": 29.18, ""n"": 91, ""success_or_positive"": 28}}"
baseline_metric_control_splits1_3,baseline/fix-tsdf05cm,8d4a4c9,/mnt/data/SCOPE/results/baseline_of_metric-frontier-readable-bev,0.0_1.0_2,2,当前 readable-BEV 的 5cm 非 BEV 正式对照，split 1/2/3,13:35:03 - All scenes finish,19.22,255,49,13.75,255,38.43,255,98,26.37,255,"{""image"": {""pct"": 29.55, ""n"": 88, ""success_or_positive"": 26}, ""object"": {""pct"": 54.44, ""n"": 90, ""success_or_positive"": 49}, ""description"": {""pct"": 29.87, ""n"": 77, ""success_or_positive"": 23}}","{""image"": {""pct"": 19.3, ""n"": 88, ""success_or_positive"": 17}, ""object"": {""pct"": 35.44, ""n"": 90, ""success_or_positive"": 33}, ""description"": {""pct"": 23.86, ""n"": 77, ""success_or_positive"": 20}}"
baseline_metric_control_splits1_3,baseline/fix-tsdf05cm,8d4a4c9,/mnt/data/SCOPE/results/baseline_of_metric-frontier-readable-bev,0.0_1.0_3,3,当前 readable-BEV 的 5cm 非 BEV 正式对照，split 1/2/3,17:24:40 - All scenes finish,15.16,277,42,11.38,268,36.82,277,102,25.33,268,"{""image"": {""pct"": 27.71, ""n"": 83, ""success_or_positive"": 23}, ""object"": {""pct"": 42.86, ""n"": 105, ""success_or_positive"": 45}, ""description"": {""pct"": 38.2, ""n"": 89, ""success_or_positive"": 34}}","{""image"": {""pct"": 18.57, ""n"": 80, ""success_or_positive"": 15}, ""object"": {""pct"": 27.69, ""n"": 102, ""success_or_positive"": 29}, ""description"": {""pct"": 28.83, ""n"": 86, ""success_or_positive"": 26}}"
batch_frontier_reason1,feat/batch-frontier-potential-scoring,dbbab92,/mnt/data/SCOPE_batch_frontier_potential/results/baseline_all—new-frontier_reason,0.0_1.0_1,1,batch frontier potential 小实验第 1 次,17:21:19 - All scenes finish,19.78,278,55,15.34,278,40.65,278,113,28.41,278,"{""image"": {""pct"": 36.36, ""n"": 88, ""success_or_positive"": 32}, ""object"": {""pct"": 47.47, ""n"": 99, ""success_or_positive"": 47}, ""description"": {""pct"": 37.36, ""n"": 91, ""success_or_positive"": 34}}","{""image"": {""pct"": 26.64, ""n"": 88, ""success_or_positive"": 24}, ""object"": {""pct"": 31.05, ""n"": 99, ""success_or_positive"": 30}, ""description"": {""pct"": 27.24, ""n"": 91, ""success_or_positive"": 25}}"
batch_frontier_reason2,feat/batch-frontier-potential-scoring,dbbab92,/mnt/data/SCOPE_batch_frontier_potential/results/baseline_all—new-frontier_reason2,0.0_1.0_1,1,batch frontier potential 小实验第 2 次；batch-local frontier ID 修复后更稳定,14:45:41 - All scenes finish,17.99,278,50,15.54,278,40.65,278,113,28.88,278,"{""image"": {""pct"": 36.36, ""n"": 88, ""success_or_positive"": 32}, ""object"": {""pct"": 50.51, ""n"": 99, ""success_or_positive"": 50}, ""description"": {""pct"": 34.07, ""n"": 91, ""success_or_positive"": 31}}","{""image"": {""pct"": 27.14, ""n"": 88, ""success_or_positive"": 23}, ""object"": {""pct"": 31.75, ""n"": 99, ""success_or_positive"": 29}, ""description"": {""pct"": 27.43, ""n"": 91, ""success_or_positive"": 26}}"
metric_readable_bev_all_frontiers_splits1_3,feat/metric-frontier-readable-bev,f36b247,/mnt/data/SCOPE_metric_frontier_bev/results/metric-frontier-readable-bev-all-frontiers,0.0_1.0_1,1,readable-BEV 主实验，all frontiers，split 1/2/3,20:09:44 - All scenes finish,33.09,278,92,23.18,278,56.83,278,158,37.43,278,"{""image"": {""pct"": 50.0, ""n"": 88, ""success_or_positive"": 44}, ""object"": {""pct"": 72.73, ""n"": 99, ""success_or_positive"": 72}, ""description"": {""pct"": 46.15, ""n"": 91, ""success_or_positive"": 42}}","{""image"": {""pct"": 36.81, ""n"": 88, ""success_or_positive"": 32}, ""object"": {""pct"": 44.05, ""n"": 99, ""success_or_positive"": 42}, ""description"": {""pct"": 30.84, ""n"": 91, ""success_or_positive"": 28}}"
metric_readable_bev_all_frontiers_splits1_3,feat/metric-frontier-readable-bev,f36b247,/mnt/data/SCOPE_metric_frontier_bev/results/metric-frontier-readable-bev-all-frontiers,0.0_1.0_2,2,readable-BEV 主实验，all frontiers，split 1/2/3,20:35:10 - All scenes finish,21.96,255,56,15.92,255,41.18,255,105,29.12,255,"{""image"": {""pct"": 34.09, ""n"": 88, ""success_or_positive"": 30}, ""object"": {""pct"": 51.11, ""n"": 90, ""success_or_positive"": 46}, ""description"": {""pct"": 37.66, ""n"": 77, ""success_or_positive"": 29}}","{""image"": {""pct"": 22.77, ""n"": 88, ""success_or_positive"": 19}, ""object"": {""pct"": 36.71, ""n"": 90, ""success_or_positive"": 35}, ""description"": {""pct"": 27.51, ""n"": 77, ""success_or_positive"": 23}}"
metric_readable_bev_all_frontiers_splits1_3,feat/metric-frontier-readable-bev,f36b247,/mnt/data/SCOPE_metric_frontier_bev/results/metric-frontier-readable-bev-all-frontiers,0.0_1.0_3,3,readable-BEV 主实验，all frontiers，split 1/2/3,06:29:45 - All scenes finish,25.27,277,70,18.78,274,45.49,277,126,30.6,274,"{""image"": {""pct"": 37.35, ""n"": 83, ""success_or_positive"": 31}, ""object"": {""pct"": 60.0, ""n"": 105, ""success_or_positive"": 63}, ""description"": {""pct"": 35.96, ""n"": 89, ""success_or_positive"": 32}}","{""image"": {""pct"": 24.33, ""n"": 82, ""success_or_positive"": 19}, ""object"": {""pct"": 37.21, ""n"": 104, ""success_or_positive"": 37}, ""description"": {""pct"": 28.64, ""n"": 88, ""success_or_positive"": 25}}"
dedupe_check_00803,feat/semantic-bev-dedupe-smoothing,81bf1e2/efc08e5,/mnt/data/SCOPE_metric_frontier_bev/results/metric-frontier-readable-bev-dedupe-check-00803,0.0_1.0_2,2,单场景 00803 dedupe 检查,00:14:05 - All scenes finish,50.0,6,3,45.04,6,66.67,6,4,61.7,6,"{""image"": {""pct"": 100.0, ""n"": 1, ""success_or_positive"": 1}, ""object"": {""pct"": 100.0, ""n"": 3, ""success_or_positive"": 3}, ""description"": {""pct"": 0.0, ""n"": 2, ""success_or_positive"": 0}}","{""image"": {""pct"": 100.0, ""n"": 1, ""success_or_positive"": 1}, ""object"": {""pct"": 90.07, ""n"": 3, ""success_or_positive"": 3}, ""description"": {""pct"": 0.0, ""n"": 2, ""success_or_positive"": 0}}"
dedupe_smoothing_check_00803,feat/semantic-bev-dedupe-smoothing,81bf1e2/efc08e5,/mnt/data/SCOPE_metric_frontier_bev/results/metric-frontier-readable-bev-dedupe-smoothing-check-00803,0.0_1.0_1,1,dedupe+smoothing；包含 split1 278 task 与 00803 单场景检查,23:18:36 - All scenes finish,31.29,278,87,24.49,278,56.47,278,157,40.29,278,"{""image"": {""pct"": 55.68, ""n"": 88, ""success_or_positive"": 49}, ""object"": {""pct"": 66.67, ""n"": 99, ""success_or_positive"": 66}, ""description"": {""pct"": 46.15, ""n"": 91, ""success_or_positive"": 42}}","{""image"": {""pct"": 42.65, ""n"": 88, ""success_or_positive"": 41}, ""object"": {""pct"": 45.2, ""n"": 99, ""success_or_positive"": 46}, ""description"": {""pct"": 32.67, ""n"": 91, ""success_or_positive"": 29}}"
dedupe_smoothing_check_00803,feat/semantic-bev-dedupe-smoothing,81bf1e2/efc08e5,/mnt/data/SCOPE_metric_frontier_bev/results/metric-frontier-readable-bev-dedupe-smoothing-check-00803,0.0_1.0_2,2,dedupe+smoothing；包含 split1 278 task 与 00803 单场景检查,00:16:01 - All scenes finish,50.0,6,3,46.65,6,50.0,6,3,46.65,6,"{""image"": {""pct"": 0.0, ""n"": 1, ""success_or_positive"": 0}, ""object"": {""pct"": 100.0, ""n"": 3, ""success_or_positive"": 3}, ""description"": {""pct"": 0.0, ""n"": 2, ""success_or_positive"": 0}}","{""image"": {""pct"": 0.0, ""n"": 1, ""success_or_positive"": 0}, ""object"": {""pct"": 93.3, ""n"": 3, ""success_or_positive"": 3}, ""description"": {""pct"": 0.0, ""n"": 2, ""success_or_positive"": 0}}"
main_historical_full_dataset,main,6abe091,/mnt/data/SCOPE/results/main_experience_deleted_archive/README.md,all_historical,10 episodes,历史报告记录；原始 main_experience 目录已删除,,23.98,2669,,18.67,2653,43.12,2669,,31.14,2653,,
main_historical_split1,main,6abe091,/mnt/data/SCOPE/results/main_experience_deleted_archive/README.md,0.0_1.0_1,1,"历史报告/删除归档记录；ep_0, 278 tasks",,23.74,278,66,18.68,278,45.32,278,126,33.43,278,,
main_historical_split2,main,6abe091,/mnt/data/SCOPE/results/main_experience_deleted_archive/README.md,0.0_1.0_2,2,"删除前记录；ep_1, 255 tasks",,23.92,255,61,17.71,255,41.96,255,107,28.72,255,,
structured_bev_historical_split1,feat/structured-bev-tsdf05cm,1623bd9,docs/SCOPE_THREE_WAY_TECHNICAL_REPORT_2026-07-16.md,0.0_1.0_1,1,历史报告记录；top-3 structured BEV 过程分支，原结果目录当前未保留在 results 根目录,19:14:47 - All scenes finish,22.3,278,62,17.96,278,50.0,278,139,37.75,278,,
